Strain,Accession,Date,Region,Country,Division,Authors,Journal,Title,Url,Num Date,Db,Raw Date
Haiti/1225/2014,Ku509998,2014-12-12,North America,Haiti,Haiti,Lednicky Et Al,Plos Negl Trop Dis 10  4  E0004687  2016 ,Zika Virus Outbreak In Haiti In 2014  Molecular And Clinical Data,https://www.ncbi.nlm.nih.gov/nuccore/KU509998,2014.94,Genbank,2014-12-12
SPH2015,Ku321639,2015-03-01,South America,Brazil,Brazil,Cunha Et Al,Genome Announc 4  2   2016 ,First Complete Genome Sequence Of Zika Virus  Flaviviridae Flavivirus  From An Autochthonous Transmission In Brazil,https://www.ncbi.nlm.nih.gov/nuccore/KU321639,2015.24,Genbank,2015-03-xx
V17829,Kr872956,2015-01-01,South America,Brazil,Brazil,Nunes Et Al,Unpublished,Emergence Of Zika Virus In Brazil  Detection Of Asian Genotype,https://www.ncbi.nlm.nih.gov/nuccore/KR872956,2015.32,Genbank,2015-xx-xx
PE243,Mf352141,2015-05-13,South America,Brazil,Brazil,Marques Et Al,Submitted  14-jun-2017  Institute For Medical Engineering And Science Massachusetts Institute Of Technology 77 Massachusetts Ave Building 48-419 Cambridge Ma 02139 Usa,Direct Submission,https://www.ncbi.nlm.nih.gov/nuccore/MF352141,2015.36,Genbank,2015-05-13
Brazil/PE243/2015,Kx197192,2015-01-01,South America,Brazil,Brazil,Donald Et Al,Plos Negl Trop Dis 10  10  E0005048  2016 ,Full Genome Sequence And Sfrna Interferon Antagonist Activity Of Zika Virus From Recife Brazil,https://www.ncbi.nlm.nih.gov/nuccore/KX197192,2015.53,Genbank,2015-xx-xx
Brazil/2016/ZBRC25,Ky558993,2016-01-18,South America,Brazil,Brazil,Faria Et Al,Unpublished,Epidemic Establishment And Cryptic Transmission Of Zika Virus In Brazil And The Americas,https://www.ncbi.nlm.nih.gov/nuccore/KY558993,2016.05,Genbank,2016-01-18
ZBRC13,Zbrc13,2016-01-12,South America,Brazil,Pernambuco,Zika In Brazil Real-time Analysis Consortium,?,?,https://github.com/zibraproject/zibraproject.github.io/tree/master/data/consensus,2016.03,Zibra,2016-01-12
Brazil/2016/ZBRC14,Ky558990,2016-01-15,South America,Brazil,Brazil,Faria Et Al,Unpublished,Epidemic Establishment And Cryptic Transmission Of Zika Virus In Brazil And The Americas,https://www.ncbi.nlm.nih.gov/nuccore/KY558990,2016.04,Genbank,2016-01-15
ZBRC15,Zbrc15,2016-01-15,South America,Brazil,Pernambuco,Zika In Brazil Real-time Analysis Consortium,?,?,https://github.com/zibraproject/zibraproject.github.io/tree/master/data/consensus,2016.04,Zibra,2016-01-15
SG_118,Ky241788,2016-05-13,Southeast Asia,Singapore,Singapore,Ho Et Al,Lancet Infect Dis  2017  In Press,Outbreak Of Zika Virus Infection In Singapore  An Epidemiological Entomological Virological And Clinical Analysis,https://www.ncbi.nlm.nih.gov/nuccore/KY241788,2016.36,Genbank,2016-05-13
